id,game,year,genre,publisher,North America,europe,japan,Rest of World,global
1,Grand Theft Auto V,2014,Action,Rockstar Games,6.06,9.71,0.60,3.02,19.39
2,Call of Duty: Black Ops 3,2015,Shooter,Activision,6.18,6.05,0.41,2.44,15.09
3,Red Dead Redemption 2,2018,Action-Adventure,Rockstar Games,5.26,6.21,0.21,2.26,13.94
4,Call of Duty: WWII,2017,Shooter,Activision,4.67,6.21,0.40,2.12,13.40
5,FIFA 18,2017,Sports,EA Sports,1.27,8.64,0.15,1.73,11.80
6,FIFA 17,2016,Sports,Electronic Arts,1.26,7.95,0.12,1.61,10.94
7,Uncharted (PS4),2016,Action,Sony Interactive Entertainment,4.49,3.93,0.21,1.70,10.33
8,Spider-Man (PS4),2018,Action-Adventure,Sony Interactive Entertainment,3.64,3.39,0.32,1.41,8.76
9,Call of Duty: Infinite Warfare,2016,Shooter,Activision,3.11,3.83,0.19,1.36,8.48
10,Fallout 4,2015,Role-Playing,Bethesda Softworks,2.91,3.97,0.27,1.34,8.48
11,FIFA 16,2015,Sports,EA Sports,1.15,5.77,0.07,1.23,8.22
12,Star Wars Battlefront 2015,2015,Shooter,Electronic Arts,3.31,3.19,0.23,1.30,8.03
13,Call of Duty: Advanced Warfare,2014,Shooter,Activision,2.84,3.34,0.14,1.22,7.53
14,Battlefield 1,2016,Shooter,Electronic Arts,2.20,3.65,0.29,1.12,7.26
15,The Last of Us,2014,Action-Adventure,Sony Computer Entertainment,2.70,2.86,0.11,1.10,6.77
16,MineCraft,2014,Misc,Sony Computer Entertainment,1.89,3.13,0.35,0.96,6.33
17,FIFA 15,2014,Sports,EA Sports,0.83,4.49,0.05,0.94,6.32
18,God of War (PS4),2018,Action,Sony Interactive Entertainment,2.83,2.17,0.13,1.02,6.15
19,Horizon: Zero Dawn,2017,Action,Sony Interactive Entertainment,2.20,2.43,0.28,0.92,5.82
20,Destiny,2014,Shooter,Activision,2.53,2.13,0.16,0.94,5.76
21,Uncharted: The Nathan Drake Collection,2015,Action,Sony Computer Entertainment,2.55,2.11,0.10,0.94,5.70
22,The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games,1.48,2.82,0.28,0.81,5.39
23,Final Fantasy XV,2016,Role-Playing,Square Enix,1.81,1.53,1.05,0.68,5.07
24,Crash Bandicoot N. Sane Trilogy,2017,Platform,Activision,1.09,2.92,0.07,0.74,4.83
25,Monster Hunter: World,2018,Action,Capcom,1.03,1.06,2.17,0.42,4.67
26,Overwatch,2016,Shooter,Blizzard Entertainment,1.84,1.80,0.17,0.73,4.54
27,Star Wars Battlefront II (2017),2017,Shooter,Electronic Arts,1.70,1.99,0.12,0.73,4.53
28,Tom Clancy's The Division,2016,Shooter,Ubisoft,1.49,2.04,0.16,0.69,4.37
29,Tom Clancy's Rainbow Six: Siege,2015,Shooter,Ubisoft,1.29,2.06,0.36,0.64,4.36
